Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
1683,"2 BHK Flat for Sale in Sector 15, Indore","A beautiful 2 BHK apartment located in Sector 15, Indore, close to schools and markets.",35.88 Lac,,"Sector 15, Indore",645 sqft,Ready to Move,4 out of 4,Resale,Furnished,North,Pool,Society 336,1.0,0.0,0.0,Leasehold,938 sqft,25x25,102.9 sqm
1684,"1 BHK Flat for Sale in Sector 46, Ahmedabad","A beautiful 1 BHK apartment located in Sector 46, Ahmedabad, close to schools and markets.",33.58 Lac,3358467.0,"Sector 46, Ahmedabad",40.5 sqm,Under Construction,7 out of 19,New Property,Semi-Furnished,,Pool,Society 325,1.0,2.0,0.0,Leasehold,609 sqft,20x20,
1685,"2 BHK Flat for Sale in Sector 57, Ahmedabad","A beautiful 2 BHK apartment located in Sector 57, Ahmedabad, close to schools and markets.",56.22 Lac,,"Sector 57, Ahmedabad",638 sqft,Under Construction,5 out of 15,Resale,Furnished,South-West,Not Available,Society 73,2.0,0.0,1.0,Co-operative Society,78.9 sqm,25x25,996 sqft
1686,"4 BHK Flat for Sale in Sector 39, Nagpur","A beautiful 4 BHK apartment located in Sector 39, Nagpur, close to schools and markets.",95.71 Lac,,"Sector 39, Nagpur",1500 sqft,Under Construction,1 out of 5,Resale,Semi-Furnished,North-West,Garden/Park,Society 18,4.0,3.0,1.0,Freehold,2073 sqft,38x38,2278 sqft
1687,"2 BHK Flat for Sale in Sector 1, Navi Mumbai","A beautiful 2 BHK apartment located in Sector 1, Navi Mumbai, close to schools and markets.",80.48 Lac,8047629.0,"Sector 1, Navi Mumbai",61.1 sqm,Ready to Move,1 out of 4,Resale,Semi-Furnished,North-West,,Society 220,1.0,2.0,1.0,Leasehold,946 sqft,25x25,
1688,"2 BHK Flat for Sale in Sector 1, Chandigarh","A beautiful 2 BHK apartment located in Sector 1, Chandigarh, close to schools and markets.",Call for Price,,"Sector 1, Chandigarh",56.8 sqm,Under Construction,2 out of 21,Resale,Furnished,West,Main Road,Society 264,2.0,2.0,1.0,Co-operative Society,974 sqft,24x24,
1689,"3 BHK Flat for Sale in Phase 3, Gurgaon","A beautiful 3 BHK apartment located in Phase 3, Gurgaon, close to schools and markets.",2.05 Cr,,"Phase 3, Gurgaon",1289 sqft,Ready to Move,15 out of 29,New Property,Furnished,South,,Society 70,3.0,2.0,1.0,Power Of Attorney,1786 sqft,35x35,
1690,"3 BHK Flat for Sale in Sector 7, Navi Mumbai","A beautiful 3 BHK apartment located in Sector 7, Navi Mumbai, close to schools and markets.",2.28 Cr,,"Sector 7, Navi Mumbai",993 sqft,Under Construction,17 out of 18,Resale,Unfurnished,West,Main Road,Society 278,3.0,1.0,0.0,Freehold,1354 sqft,31x31,
1691,"1 BHK Flat for Sale in Sector 57, Delhi","A beautiful 1 BHK apartment located in Sector 57, Delhi, close to schools and markets.",72.6 Lac,,"Sector 57, Delhi",334 sqft,Ready to Move,6 out of 8,New Property,Furnished,South-East,Not Available,Society 299,1.0,2.0,0.0,Co-operative Society,507 sqft,18x18,
1692,"2 BHK Flat for Sale in Sector 40, Thane","A beautiful 2 BHK apartment located in Sector 40, Thane, close to schools and markets.",2.01 Cr,,"Sector 40, Thane",884 sqft,Under Construction,9 out of 11,New Property,Semi-Furnished,South-West,,Society 337,1.0,2.0,1.0,Co-operative Society,1126 sqft,29x29,
1693,"2 BHK Flat for Sale in Sector 20, Navi Mumbai","A beautiful 2 BHK apartment located in Sector 20, Navi Mumbai, close to schools and markets.",72.92 Lac,,"Sector 20, Navi Mumbai",614 sqft,Under Construction,4 out of 12,New Property,Semi-Furnished,North-East,Not Available,Society 241,1.0,2.0,2.0,Freehold,885 sqft,24x24,
1694,"2 BHK Flat for Sale in Sector 44, Surat","A beautiful 2 BHK apartment located in Sector 44, Surat, close to schools and markets.",73.95 Lac,,"Sector 44, Surat",77.7 sqm,Ready to Move,Ground out of 11,New Property,Semi-Furnished,South,Pool,Society 306,2.0,2.0,2.0,Co-operative Society,95.2 sqm,28x28,
1695,"3 BHK Flat for Sale in Sector 24, Gurgaon","A beautiful 3 BHK apartment located in Sector 24, Gurgaon, close to schools and markets.",1.43 Cr,14334531.0,"Sector 24, Gurgaon",988 sqft,Ready to Move,22 out of 27,Resale,Unfurnished,West,Not Available,Society 139,3.0,2.0,0.0,Co-operative Society,1286 sqft,31x31,
1696,"1 BHK Flat for Sale in Extension, Kolkata","A beautiful 1 BHK apartment located in Extension, Kolkata, close to schools and markets.",Call for Price,4404671.0,"Extension, Kolkata",416 sqft,Under Construction,1 out of 20,New Property,Unfurnished,South,,Society 105,1.0,2.0,2.0,Leasehold,551 sqft,20x20,
1697,"1 BHK Flat for Sale in Sector 44, Mumbai","A beautiful 1 BHK apartment located in Sector 44, Mumbai, close to schools and markets.",1.3 Cr,,"Sector 44, Mumbai",36.6 sqm,Ready to Move,Basement out of 4,Resale,Furnished,East,Pool,Society 295,1.0,2.0,0.0,Leasehold,474 sqft,19x19,545 sqft
1698,"3 BHK Flat for Sale in Sector 43, Faridabad","A beautiful 3 BHK apartment located in Sector 43, Faridabad, close to schools and markets.",53.7 Lac,,"Sector 43, Faridabad",1050 sqft,Ready to Move,12 out of 25,Resale,Semi-Furnished,West,Garden/Park,Society 290,2.0,3.0,,Leasehold,1406 sqft,32x32,
1699,"2 BHK Flat for Sale in Sector 15, Indore","A beautiful 2 BHK apartment located in Sector 15, Indore, close to schools and markets.",36.42 Lac,3641846.0,"Sector 15, Indore",675 sqft,Ready to Move,2 out of 28,New Property,Semi-Furnished,South-East,Garden/Park,,1.0,,1.0,Co-operative Society,890 sqft,25x25,
1700,"3 BHK Flat for Sale in Sector 45, Ahmedabad","A beautiful 3 BHK apartment located in Sector 45, Ahmedabad, close to schools and markets.",65.47 Lac,,"Sector 45, Ahmedabad",974 sqft,Under Construction,Basement out of 20,New Property,Unfurnished,North-East,Not Available,Society 226,3.0,3.0,0.0,Co-operative Society,1251 sqft,31x31,
1701,"4 BHK Flat for Sale in Sector 7, Chennai","A beautiful 4 BHK apartment located in Sector 7, Chennai, close to schools and markets.",1.27 Cr,12687335.0,"Sector 7, Chennai",1640 sqft,Ready to Move,8 out of 21,Resale,Semi-Furnished,,Pool,Society 207,4.0,,0.0,Power Of Attorney,2275 sqft,40x40,
1702,"2 BHK Flat for Sale in Sector 54, Surat","A beautiful 2 BHK apartment located in Sector 54, Surat, close to schools and markets.",65.58 Lac,6558131.0,"Sector 54, Surat",871 sqft,Ready to Move,12 out of 14,Resale,Furnished,,Club,Society 25,2.0,2.0,1.0,Freehold,1024 sqft,29x29,
1703,"2 BHK Flat for Sale in Sector 18, Kolkata","A beautiful 2 BHK apartment located in Sector 18, Kolkata, close to schools and markets.",89.7 Lac,,"Sector 18, Kolkata",83.5 sqm,Ready to Move,3 out of 25,New Property,Semi-Furnished,South-East,Pool,Society 3,1.0,0.0,,Freehold,1147 sqft,29x29,1240 sqft
1704,"5 BHK Flat for Sale in Sector 42, Hyderabad","A beautiful 5 BHK apartment located in Sector 42, Hyderabad, close to schools and markets.",1.91 Cr,,"Sector 42, Hyderabad",2058 sqft,Under Construction,7 out of 9,New Property,Semi-Furnished,South-West,Club,Society 91,5.0,1.0,0.0,Power Of Attorney,2949 sqft,45x45,
1705,"5 BHK Flat for Sale in Phase 1, Pune","A beautiful 5 BHK apartment located in Phase 1, Pune, close to schools and markets.",1.54 Cr,,"Phase 1, Pune",1906 sqft,Under Construction,25 out of 29,Resale,Furnished,South,Main Road,,5.0,1.0,0.0,Freehold,2426 sqft,43x43,
1706,"4 BHK Flat for Sale in Sector 56, Jaipur","A beautiful 4 BHK apartment located in Sector 56, Jaipur, close to schools and markets.",65.31 Lac,,"Sector 56, Jaipur",1267 sqft,Ready to Move,3 out of 24,Resale,Unfurnished,South-West,Pool,Society 298,4.0,1.0,2.0,Freehold,1785 sqft,35x35,2132 sqft
1707,"3 BHK Flat for Sale in Sector 28, Hyderabad","A beautiful 3 BHK apartment located in Sector 28, Hyderabad, close to schools and markets.",1.08 Cr,,"Sector 28, Hyderabad",1390 sqft,Under Construction,4 out of 24,New Property,Semi-Furnished,South-East,Club,Society 99,3.0,,1.0,Leasehold,1762 sqft,37x37,
1708,"1 BHK Flat for Sale in Sector 10, Hyderabad","A beautiful 1 BHK apartment located in Sector 10, Hyderabad, close to schools and markets.",37.29 Lac,,"Sector 10, Hyderabad",360 sqft,Ready to Move,Basement out of 13,Resale,Semi-Furnished,South-East,Garden/Park,,1.0,1.0,0.0,Power Of Attorney,53.6 sqm,18x18,
1709,"2 BHK Flat for Sale in Sector 24, Nagpur","A beautiful 2 BHK apartment located in Sector 24, Nagpur, close to schools and markets.",56.6 Lac,5660373.0,"Sector 24, Nagpur",63.0 sqm,Under Construction,Basement out of 18,Resale,Semi-Furnished,North-West,Not Available,Society 5,2.0,2.0,2.0,Power Of Attorney,921 sqft,26x26,
1710,"2 BHK Flat for Sale in Sector 34, Hyderabad","A beautiful 2 BHK apartment located in Sector 34, Hyderabad, close to schools and markets.",1.07 Cr,10677632.0,"Sector 34, Hyderabad",79.2 sqm,Under Construction,2 out of 18,Resale,Unfurnished,North-East,Not Available,Society 298,1.0,1.0,1.0,Co-operative Society,112.6 sqm,29x29,1603 sqft
1711,"1 BHK Flat for Sale in Sector 12, Noida","A beautiful 1 BHK apartment located in Sector 12, Noida, close to schools and markets.",58.02 Lac,,"Sector 12, Noida",354 sqft,Under Construction,3 out of 18,New Property,Furnished,North-West,Main Road,Society 195,1.0,1.0,0.0,Co-operative Society,535 sqft,18x18,585 sqft
1712,"3 BHK Flat for Sale in Sector 59, Pune","A beautiful 3 BHK apartment located in Sector 59, Pune, close to schools and markets.",73.21 Lac,,"Sector 59, Pune",1074 sqft,Under Construction,2 out of 11,New Property,Unfurnished,West,Main Road,Society 124,2.0,2.0,,Leasehold,120.5 sqm,32x32,
1713,"4 BHK Flat for Sale in Sector 12, Delhi","A beautiful 4 BHK apartment located in Sector 12, Delhi, close to schools and markets.",4.75 Cr,47464594.0,"Sector 12, Delhi",1684 sqft,Under Construction,Ground out of 6,Resale,Unfurnished,West,Pool,Society 69,4.0,3.0,1.0,Leasehold,228.5 sqm,41x41,
1714,"3 BHK Flat for Sale in Sector 9, Pune","A beautiful 3 BHK apartment located in Sector 9, Pune, close to schools and markets.",80.6 Lac,8060376.0,"Sector 9, Pune",996 sqft,Ready to Move,Basement out of 1,Resale,Unfurnished,North,Pool,Society 198,3.0,1.0,,Freehold,1343 sqft,31x31,
1715,"4 BHK Flat for Sale in Sector 40, Gurgaon","A beautiful 4 BHK apartment located in Sector 40, Gurgaon, close to schools and markets.",2.15 Cr,,"Sector 40, Gurgaon",1584 sqft,Under Construction,24 out of 30,Resale,Semi-Furnished,East,Not Available,Society 256,3.0,2.0,1.0,Power Of Attorney,180.2 sqm,39x39,
1716,"3 BHK Flat for Sale in Sector 19, Delhi","A beautiful 3 BHK apartment located in Sector 19, Delhi, close to schools and markets.",1.52 Cr,15242479.0,"Sector 19, Delhi",1008 sqft,Under Construction,9 out of 9,New Property,Semi-Furnished,North-West,Pool,,3.0,1.0,1.0,Power Of Attorney,1317 sqft,31x31,
1717,"3 BHK Flat for Sale in Sector 24, Jaipur","A beautiful 3 BHK apartment located in Sector 24, Jaipur, close to schools and markets.",60.57 Lac,6056988.0,"Sector 24, Jaipur",1227 sqft,Under Construction,19 out of 30,New Property,Semi-Furnished,South,Garden/Park,,3.0,1.0,1.0,Co-operative Society,1350 sqft,35x35,
1718,"5 BHK Flat for Sale in Sector 53, Indore","A beautiful 5 BHK apartment located in Sector 53, Indore, close to schools and markets.",1.41 Cr,14147493.0,"Sector 53, Indore",134.2 sqm,Under Construction,22 out of 25,Resale,Furnished,South-East,,Society 259,5.0,1.0,1.0,Leasehold,2212 sqft,38x38,
1719,"3 BHK Flat for Sale in Sector 18, Kolkata","A beautiful 3 BHK apartment located in Sector 18, Kolkata, close to schools and markets.",1.11 Cr,,"Sector 18, Kolkata",1022 sqft,Ready to Move,29 out of 29,New Property,Semi-Furnished,North-West,Pool,Society 24,,1.0,2.0,Freehold,115.9 sqm,31x31,
1720,"1 BHK Flat for Sale in Phase 5, Ahmedabad","A beautiful 1 BHK apartment located in Phase 5, Ahmedabad, close to schools and markets.",43.22 Lac,,"Phase 5, Ahmedabad",438 sqft,Under Construction,10 out of 16,New Property,Furnished,East,Club,Society 134,1.0,2.0,1.0,Leasehold,582 sqft,20x20,
1721,"2 BHK Flat for Sale in Sector 13, Jaipur","A beautiful 2 BHK apartment located in Sector 13, Jaipur, close to schools and markets.",54.59 Lac,5458679.0,"Sector 13, Jaipur",84.0 sqm,Ready to Move,6 out of 13,Resale,Semi-Furnished,South-West,Club,Society 161,2.0,2.0,2.0,Power Of Attorney,1048 sqft,30x30,
1722,"3 BHK Flat for Sale in Sector 48, Nagpur","A beautiful 3 BHK apartment located in Sector 48, Nagpur, close to schools and markets.",70.63 Lac,,"Sector 48, Nagpur",992 sqft,Ready to Move,16 out of 16,Resale,Furnished,,Garden/Park,Society 71,3.0,3.0,1.0,Freehold,120.4 sqm,31x31,
1723,"2 BHK Flat for Sale in Sector 12, Bangalore","A beautiful 2 BHK apartment located in Sector 12, Bangalore, close to schools and markets.",79.06 Lac,,"Sector 12, Bangalore",79.8 sqm,Ready to Move,1 out of 3,Resale,Unfurnished,East,,Society 24,1.0,2.0,,Leasehold,1051 sqft,29x29,
1724,"3 BHK Flat for Sale in Sector 24, Pune","A beautiful 3 BHK apartment located in Sector 24, Pune, close to schools and markets.",1.27 Cr,12653108.0,"Sector 24, Pune",1190 sqft,Ready to Move,3 out of 6,Resale,Unfurnished,South-East,Main Road,Society 330,2.0,1.0,0.0,Co-operative Society,1464 sqft,34x34,1657 sqft
1725,"3 BHK Flat for Sale in Phase 7, Mumbai","A beautiful 3 BHK apartment located in Phase 7, Mumbai, close to schools and markets.",3.28 Cr,,"Phase 7, Mumbai",1159 sqft,Under Construction,10 out of 15,New Property,Unfurnished,East,Not Available,Society 355,3.0,2.0,0.0,Co-operative Society,1459 sqft,34x34,1593 sqft
1726,"3 BHK Flat for Sale in Sector 14, Ahmedabad","A beautiful 3 BHK apartment located in Sector 14, Ahmedabad, close to schools and markets.",66.58 Lac,,"Sector 14, Ahmedabad",1244 sqft,Ready to Move,2 out of 12,New Property,Semi-Furnished,North,,Society 348,3.0,1.0,0.0,Leasehold,1499 sqft,35x35,1695 sqft
1727,"2 BHK Flat for Sale in Sector 26, Thane","A beautiful 2 BHK apartment located in Sector 26, Thane, close to schools and markets.",84.98 Lac,8498208.0,"Sector 26, Thane",754 sqft,Ready to Move,2 out of 4,New Property,Unfurnished,North,Club,,1.0,,1.0,Leasehold,826 sqft,27x27,
1728,"3 BHK Flat for Sale in Sector 33, Bangalore","A beautiful 3 BHK apartment located in Sector 33, Bangalore, close to schools and markets.",1.59 Cr,15948042.0,"Sector 33, Bangalore",1208 sqft,Under Construction,1 out of 7,Resale,Furnished,,Not Available,Society 300,3.0,3.0,2.0,Freehold,1706 sqft,34x34,202.0 sqm
1729,"3 BHK Flat for Sale in Sector 45, Kolkata","A beautiful 3 BHK apartment located in Sector 45, Kolkata, close to schools and markets.",1.01 Cr,,"Sector 45, Kolkata",1036 sqft,Under Construction,14 out of 17,Resale,Unfurnished,,Not Available,Society 155,3.0,1.0,1.0,Leasehold,1336 sqft,32x32,1478 sqft
1730,"3 BHK Flat for Sale in Sector 1, Faridabad","A beautiful 3 BHK apartment located in Sector 1, Faridabad, close to schools and markets.",63.12 Lac,6311837.0,"Sector 1, Faridabad",99.6 sqm,Ready to Move,20 out of 24,Resale,Unfurnished,North-West,Main Road,Society 282,3.0,1.0,1.0,Power Of Attorney,1279 sqft,32x32,
1731,"3 BHK Flat for Sale in Sector 38, Nagpur","A beautiful 3 BHK apartment located in Sector 38, Nagpur, close to schools and markets.",1.0 Cr,10032431.0,"Sector 38, Nagpur",1186 sqft,Ready to Move,2 out of 25,New Property,Furnished,South-East,,Society 29,2.0,3.0,0.0,Power Of Attorney,1548 sqft,34x34,
1732,"4 BHK Flat for Sale in Sector 58, Hyderabad","A beautiful 4 BHK apartment located in Sector 58, Hyderabad, close to schools and markets.",1.68 Cr,16800947.0,"Sector 58, Hyderabad",1774 sqft,Under Construction,9 out of 21,New Property,Semi-Furnished,South-East,Pool,Society 41,4.0,2.0,1.0,Co-operative Society,2467 sqft,42x42,2907 sqft
1733,"1 BHK Flat for Sale in Phase 7, Chandigarh","A beautiful 1 BHK apartment located in Phase 7, Chandigarh, close to schools and markets.",55.49 Lac,,"Phase 7, Chandigarh",466 sqft,Under Construction,Ground out of 5,New Property,Unfurnished,South-West,Garden/Park,,1.0,0.0,0.0,Leasehold,614 sqft,21x21,
1734,"3 BHK Flat for Sale in Sector 25, Mumbai","A beautiful 3 BHK apartment located in Sector 25, Mumbai, close to schools and markets.",3.97 Cr,,"Sector 25, Mumbai",1106 sqft,Ready to Move,17 out of 23,New Property,Unfurnished,South-West,Main Road,Society 138,3.0,0.0,1.0,Power Of Attorney,1314 sqft,33x33,1394 sqft
1735,"2 BHK Flat for Sale in Sector 13, Nagpur","A beautiful 2 BHK apartment located in Sector 13, Nagpur, close to schools and markets.",51.78 Lac,,"Sector 13, Nagpur",722 sqft,Under Construction,11 out of 30,New Property,Semi-Furnished,South-West,,Society 215,2.0,2.0,,Co-operative Society,928 sqft,26x26,
1736,"2 BHK Flat for Sale in Sector 6, Bangalore","A beautiful 2 BHK apartment located in Sector 6, Bangalore, close to schools and markets.",1.12 Cr,11192957.0,"Sector 6, Bangalore",834 sqft,Ready to Move,Basement out of 8,Resale,Furnished,South,,Society 135,1.0,2.0,2.0,Co-operative Society,954 sqft,28x28,
1737,"2 BHK Flat for Sale in Phase 4, Gurgaon","A beautiful 2 BHK apartment located in Phase 4, Gurgaon, close to schools and markets.",1.02 Cr,10229506.0,"Phase 4, Gurgaon",763 sqft,Under Construction,5 out of 13,Resale,Unfurnished,South-West,,Society 374,2.0,2.0,1.0,Leasehold,972 sqft,27x27,999 sqft
1738,"3 BHK Flat for Sale in Sector 49, Surat","A beautiful 3 BHK apartment located in Sector 49, Surat, close to schools and markets.",82.47 Lac,8246808.0,"Sector 49, Surat",113.8 sqm,Ready to Move,14 out of 17,New Property,Furnished,South-West,Club,Society 119,,1.0,2.0,Freehold,147.4 sqm,35x35,
1739,"5 BHK Flat for Sale in Colony, Jaipur","A beautiful 5 BHK apartment located in Colony, Jaipur, close to schools and markets.",1.33 Cr,,"Colony, Jaipur",1939 sqft,Ready to Move,Ground out of 9,New Property,Furnished,,Not Available,Society 60,4.0,3.0,1.0,Co-operative Society,2735 sqft,44x44,
1740,"4 BHK Flat for Sale in Sector 37, Ahmedabad","A beautiful 4 BHK apartment located in Sector 37, Ahmedabad, close to schools and markets.",1.39 Cr,13856401.0,"Sector 37, Ahmedabad",142.8 sqm,Ready to Move,13 out of 15,Resale,Unfurnished,North-East,,Society 83,4.0,0.0,2.0,Power Of Attorney,2081 sqft,39x39,215.3 sqm
1741,"4 BHK Flat for Sale in Sector 27, Surat","A beautiful 4 BHK apartment located in Sector 27, Surat, close to schools and markets.",87.06 Lac,,"Sector 27, Surat",1636 sqft,Under Construction,Ground out of 6,New Property,Semi-Furnished,West,,Society 279,4.0,1.0,1.0,Co-operative Society,2065 sqft,40x40,
1742,"2 BHK Flat for Sale in Sector 38, Ahmedabad","A beautiful 2 BHK apartment located in Sector 38, Ahmedabad, close to schools and markets.",79.56 Lac,7955724.0,"Sector 38, Ahmedabad",773 sqft,Ready to Move,Ground out of 4,New Property,Semi-Furnished,,Not Available,Society 345,2.0,1.0,,Leasehold,1207 sqft,27x27,144.7 sqm
1743,"3 BHK Flat for Sale in Sector 13, Chennai","A beautiful 3 BHK apartment located in Sector 13, Chennai, close to schools and markets.",1.36 Cr,,"Sector 13, Chennai",94.0 sqm,Under Construction,Ground out of 3,New Property,Unfurnished,West,Club,Society 306,3.0,3.0,1.0,Co-operative Society,1415 sqft,31x31,
1744,"3 BHK Flat for Sale in Sector 55, Surat","A beautiful 3 BHK apartment located in Sector 55, Surat, close to schools and markets.",83.01 Lac,8300968.0,"Sector 55, Surat",1018 sqft,Under Construction,8 out of 18,New Property,Furnished,North-West,Not Available,Society 263,2.0,2.0,1.0,Freehold,1189 sqft,31x31,
1745,"3 BHK Flat for Sale in Sector 17, Pune","A beautiful 3 BHK apartment located in Sector 17, Pune, close to schools and markets.",1.46 Cr,,"Sector 17, Pune",1382 sqft,Ready to Move,6 out of 6,New Property,Semi-Furnished,South-West,Not Available,Society 173,3.0,1.0,1.0,Leasehold,1766 sqft,37x37,
1746,"3 BHK Flat for Sale in Sector 41, Lucknow","A beautiful 3 BHK apartment located in Sector 41, Lucknow, close to schools and markets.",66.19 Lac,6619092.0,"Sector 41, Lucknow",1135 sqft,Under Construction,8 out of 20,New Property,Semi-Furnished,North,Garden/Park,Society 209,,2.0,0.0,Power Of Attorney,1430 sqft,33x33,
1747,"3 BHK Flat for Sale in Sector 11, Surat","A beautiful 3 BHK apartment located in Sector 11, Surat, close to schools and markets.",1.25 Cr,12503904.0,"Sector 11, Surat",980 sqft,Ready to Move,7 out of 9,New Property,Furnished,East,Main Road,Society 314,3.0,,1.0,Co-operative Society,1570 sqft,31x31,
1748,"5 BHK Flat for Sale in Colony, Hyderabad","A beautiful 5 BHK apartment located in Colony, Hyderabad, close to schools and markets.",2.02 Cr,20178737.0,"Colony, Hyderabad",1958 sqft,Ready to Move,26 out of 26,New Property,Semi-Furnished,South-East,Garden/Park,Society 180,5.0,3.0,2.0,Freehold,2323 sqft,44x44,
1749,"5 BHK Flat for Sale in Sector 23, Delhi","A beautiful 5 BHK apartment located in Sector 23, Delhi, close to schools and markets.",3.14 Cr,31385081.0,"Sector 23, Delhi",1983 sqft,Ready to Move,9 out of 17,New Property,Unfurnished,East,Pool,Society 26,5.0,2.0,2.0,Power Of Attorney,237.0 sqm,44x44,
1750,"3 BHK Flat for Sale in Sector 58, Jaipur","A beautiful 3 BHK apartment located in Sector 58, Jaipur, close to schools and markets.",1.07 Cr,,"Sector 58, Jaipur",1063 sqft,Ready to Move,Basement out of 15,Resale,Unfurnished,North-West,Pool,Society 392,3.0,,1.0,Leasehold,143.6 sqm,32x32,
1751,"3 BHK Flat for Sale in Sector 7, Lucknow","A beautiful 3 BHK apartment located in Sector 7, Lucknow, close to schools and markets.",60.69 Lac,6068708.0,"Sector 7, Lucknow",1404 sqft,Under Construction,18 out of 25,New Property,Semi-Furnished,North,,Society 329,,2.0,,Power Of Attorney,1543 sqft,37x37,
1752,"2 BHK Flat for Sale in Sector 40, Faridabad","A beautiful 2 BHK apartment located in Sector 40, Faridabad, close to schools and markets.",60.55 Lac,6055302.0,"Sector 40, Faridabad",675 sqft,Ready to Move,15 out of 17,New Property,Semi-Furnished,North-East,Not Available,Society 103,2.0,1.0,0.0,Leasehold,970 sqft,25x25,
1753,"2 BHK Flat for Sale in Sector 58, Surat","A beautiful 2 BHK apartment located in Sector 58, Surat, close to schools and markets.",45.41 Lac,,"Sector 58, Surat",580 sqft,Under Construction,Basement out of 3,Resale,Semi-Furnished,East,Not Available,Society 394,2.0,,2.0,Freehold,798 sqft,24x24,
1754,"3 BHK Flat for Sale in Sector 45, Ghaziabad","A beautiful 3 BHK apartment located in Sector 45, Ghaziabad, close to schools and markets.",1.06 Cr,,"Sector 45, Ghaziabad",111.4 sqm,Under Construction,17 out of 29,New Property,Semi-Furnished,,Club,,3.0,1.0,2.0,Power Of Attorney,144.6 sqm,34x34,1638 sqft
1755,"3 BHK Flat for Sale in Sector 15, Pune","A beautiful 3 BHK apartment located in Sector 15, Pune, close to schools and markets.",1.0 Cr,10023262.0,"Sector 15, Pune",957 sqft,Ready to Move,23 out of 30,New Property,Semi-Furnished,South,Pool,Society 387,3.0,2.0,0.0,Freehold,124.5 sqm,30x30,
1756,"3 BHK Flat for Sale in Sector 14, Navi Mumbai","A beautiful 3 BHK apartment located in Sector 14, Navi Mumbai, close to schools and markets.",2.52 Cr,,"Sector 14, Navi Mumbai",1234 sqft,Under Construction,16 out of 19,New Property,Unfurnished,South-East,,Society 195,3.0,1.0,2.0,Leasehold,150.0 sqm,35x35,
1757,"2 BHK Flat for Sale in Sector 9, Noida","A beautiful 2 BHK apartment located in Sector 9, Noida, close to schools and markets.",98.82 Lac,,"Sector 9, Noida",737 sqft,Under Construction,2 out of 11,Resale,Unfurnished,South-West,,Society 344,,1.0,0.0,Co-operative Society,91.3 sqm,27x27,
1758,"1 BHK Flat for Sale in Phase 6, Chennai","A beautiful 1 BHK apartment located in Phase 6, Chennai, close to schools and markets.",40.93 Lac,,"Phase 6, Chennai",358 sqft,Ready to Move,Ground out of 1,New Property,Furnished,South-West,Pool,Society 244,1.0,,0.0,Co-operative Society,566 sqft,18x18,
1759,"2 BHK Flat for Sale in Sector 50, Chandigarh","A beautiful 2 BHK apartment located in Sector 50, Chandigarh, close to schools and markets.",1.15 Cr,11484586.0,"Sector 50, Chandigarh",877 sqft,Under Construction,Ground out of 10,New Property,Semi-Furnished,South-East,Garden/Park,Society 94,2.0,1.0,2.0,Leasehold,1082 sqft,29x29,
1760,"3 BHK Flat for Sale in Vihar, Chennai","A beautiful 3 BHK apartment located in Vihar, Chennai, close to schools and markets.",84.01 Lac,,"Vihar, Chennai",1086 sqft,Under Construction,Basement out of 1,Resale,Semi-Furnished,South,Pool,Society 295,3.0,3.0,,Leasehold,126.5 sqm,32x32,150.0 sqm
1761,"3 BHK Flat for Sale in Sector 55, Pune","A beautiful 3 BHK apartment located in Sector 55, Pune, close to schools and markets.",1.76 Cr,,"Sector 55, Pune",1145 sqft,Under Construction,Ground out of 5,Resale,Semi-Furnished,East,Garden/Park,Society 107,3.0,,2.0,Power Of Attorney,1669 sqft,33x33,
1762,"3 BHK Flat for Sale in Sector 3, Delhi","A beautiful 3 BHK apartment located in Sector 3, Delhi, close to schools and markets.",2.03 Cr,,"Sector 3, Delhi",1013 sqft,Under Construction,17 out of 27,Resale,Unfurnished,,Club,Society 139,2.0,1.0,0.0,Freehold,1244 sqft,31x31,
1763,"4 BHK Flat for Sale in Sector 46, Chandigarh","A beautiful 4 BHK apartment located in Sector 46, Chandigarh, close to schools and markets.",1.77 Cr,,"Sector 46, Chandigarh",171.5 sqm,Ready to Move,9 out of 16,New Property,Semi-Furnished,North-East,Main Road,Society 188,4.0,1.0,,Power Of Attorney,2146 sqft,42x42,2296 sqft
1764,"1 BHK Flat for Sale in Sector 10, Lucknow","A beautiful 1 BHK apartment located in Sector 10, Lucknow, close to schools and markets.",34.56 Lac,3456105.0,"Sector 10, Lucknow",429 sqft,Ready to Move,13 out of 16,New Property,Unfurnished,South,Main Road,Society 93,1.0,1.0,1.0,Power Of Attorney,562 sqft,20x20,
1765,"4 BHK Flat for Sale in Sector 8, Chennai","A beautiful 4 BHK apartment located in Sector 8, Chennai, close to schools and markets.",2.27 Cr,22716573.0,"Sector 8, Chennai",1456 sqft,Under Construction,12 out of 26,Resale,Semi-Furnished,South,Not Available,Society 368,4.0,3.0,0.0,Leasehold,1915 sqft,38x38,
1766,"4 BHK Flat for Sale in Sector 26, Chandigarh","A beautiful 4 BHK apartment located in Sector 26, Chandigarh, close to schools and markets.",1.52 Cr,,"Sector 26, Chandigarh",1194 sqft,Under Construction,Basement out of 3,Resale,Furnished,West,Club,Society 240,3.0,1.0,0.0,Co-operative Society,1708 sqft,34x34,
